2025-12-16 22:08:04,603	WARNING deprecation.py:50 -- DeprecationWarning: `remote_workers()` has been deprecated. Use `Use either the `foreach_worker()`, `foreach_worker_with_id()`, or `foreach_worker_async()` APIs of `WorkerSet`, which all handle fault tolerance.` instead. This will raise an error in the future!
[NONE] Epoch  67 | Reward=168.38 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9871.0/s | Compile=None | Swap=None | Infer=0.027s | Env=0.165s
[NONE] Epoch  68 | Reward=158.50 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9692.3/s | Compile=None | Swap=None | Infer=0.027s | Env=0.168s
[NONE] Epoch  69 | Reward=193.90 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9438.5/s | Compile=None | Swap=None | Infer=0.028s | Env=0.174s
[NONE] Epoch  70 | Reward=201.91 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9664.2/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  71 | Reward=165.00 | Samples=2000 | Total=0.23s (Rollout=0.22s, Train=0.01s) | Thrpt=8641.1/s | Compile=None | Swap=None | Infer=0.031s | Env=0.189s
[NONE] Epoch  72 | Reward=157.77 | Samples=2000 | Total=0.36s (Rollout=0.34s, Train=0.02s) | Thrpt=5510.5/s | Compile=None | Swap=None | Infer=0.047s | Env=0.294s
[NONE] Epoch  73 | Reward=157.91 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=8891.4/s | Compile=None | Swap=None | Infer=0.029s | Env=0.184s
[NONE] Epoch  74 | Reward=149.00 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9513.0/s | Compile=None | Swap=None | Infer=0.028s | Env=0.170s
[NONE] Epoch  75 | Reward=188.25 | Samples=2000 | Total=0.29s (Rollout=0.27s, Train=0.02s) | Thrpt=7001.3/s | Compile=None | Swap=None | Infer=0.038s | Env=0.232s
[NONE] Epoch  76 | Reward=182.09 | Samples=2000 | Total=0.21s (Rollout=0.19s, Train=0.01s) | Thrpt=9755.0/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch  77 | Reward=150.25 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9657.3/s | Compile=None | Swap=None | Infer=0.027s | Env=0.168s
[NONE] Epoch  78 | Reward=229.50 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9632.8/s | Compile=None | Swap=None | Infer=0.027s | Env=0.171s
[NONE] Epoch  79 | Reward=193.11 | Samples=2000 | Total=0.35s (Rollout=0.33s, Train=0.01s) | Thrpt=5790.9/s | Compile=None | Swap=None | Infer=0.130s | Env=0.205s
[NONE] Epoch  80 | Reward=231.89 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9442.4/s | Compile=None | Swap=None | Infer=0.028s | Env=0.172s
[NONE] Epoch  81 | Reward=197.83 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9483.1/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  82 | Reward=157.55 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9762.3/s | Compile=None | Swap=None | Infer=0.027s | Env=0.166s
